sensor_combination,model,fold,n_train,n_test,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc
EMG,Linear SVM,4,48,12,0.5,0.3333333333333333,0.25,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.14907119849998599
EMG,Linear SVM,5,48,12,0.5,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.38095238095238093,0.42857142857142855,0.15811388300841897
EMG,RBF SVM,1,48,12,0.5,0.4444444444444444,0.4682539682539682,0.4444444444444444,0.44957264957264953,0.49102564102564106,0.17460757394239457
EMG,RBF SVM,2,48,12,0.6666666666666666,0.5555555555555555,0.5833333333333334,0.5555555555555555,0.5523809523809523,0.6285714285714286,0.4472135954999579
EMG,RBF SVM,3,48,12,0.6666666666666666,0.5555555555555555,0.4444444444444444,0.5555555555555555,0.48888888888888893,0.5666666666666668,0.47336463120312877
EMG,RBF SVM,4,48,12,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.4666666666666667
EMG,RBF SVM,5,48,12,0.75,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.7000000000000001,0.7250000000000001,0.6228410989030498
EMG,k-NN,1,48,12,0.5,0.4444444444444444,0.4682539682539682,0.4444444444444444,0.44957264957264953,0.49102564102564106,0.17460757394239457
EMG,k-NN,2,48,12,0.6666666666666666,0.5555555555555555,0.41904761904761906,0.5555555555555555,0.4743589743589744,0.5865384615384616,0.4913538149119954
EMG,k-NN,3,48,12,0.6666666666666666,0.5555555555555555,0.7222222222222222,0.5555555555555555,0.5666666666666668,0.6250000000000001,0.45675013919556984
EMG,k-NN,4,48,12,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.4666666666666667
EMG,k-NN,5,48,12,0.6666666666666666,0.5555555555555555,0.7222222222222222,0.5555555555555555,0.5666666666666668,0.6250000000000001,0.45675013919556984
EMG,Gaussian Naive Bayes,1,48,12,0.5,0.4444444444444444,0.4682539682539682,0.4444444444444444,0.44957264957264953,0.49102564102564106,0.17460757394239457
EMG,Gaussian Naive Bayes,2,48,12,0.5,0.3333333333333333,0.1818181818181818,0.3333333333333333,0.23529411764705885,0.35294117647058826,0.06741998624632421
EMG,Gaussian Naive Bayes,3,48,12,0.6666666666666666,0.5555555555555555,0.7222222222222222,0.5555555555555555,0.5666666666666668,0.6250000000000001,0.45675013919556984
EMG,Gaussian Naive Bayes,4,48,12,0.6666666666666666,0.5555555555555555,0.8666666666666667,0.5555555555555555,0.5833333333333334,0.625,0.4879500364742666
EMG,Gaussian Naive Bayes,5,48,12,0.5833333333333334,0.4444444444444444,0.5151515151515151,0.4444444444444444,0.40196078431372556,0.47794117647058826,0.337099931231621
EMG,Random Forest,1,48,12,0.5833333333333334,0.5555555555555555,0.6388888888888888,0.5555555555555555,0.5841269841269842,0.6047619047619047,0.337099931231621
EMG,Random Forest,2,48,12,0.8333333333333334,0.7777777777777777,0.8412698412698413,0.7777777777777777,0.7965811965811965,0.8282051282051283,0.7333518105580571
EMG,Random Forest,3,48,12,0.75,0.6666666666666666,0.7857142857142857,0.6666666666666666,0.6648351648351648,0.7293956043956044,0.6086976429335179
EMG,Random Forest,4,48,12,0.6666666666666666,0.5555555555555555,0.4666666666666666,0.5555555555555555,0.5,0.625,0.48890120703870477
EMG,Random Forest,5,48,12,0.75,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.7000000000000001,0.7250000000000001,0.6228410989030498
EMG,Extra Trees,1,48,12,0.5833333333333334,0.5555555555555555,0.6388888888888888,0.5555555555555555,0.5841269841269842,0.6047619047619047,0.337099931231621
EMG,Extra Trees,2,48,12,0.9166666666666666,0.8888888888888888,0.9523809523809524,0.8888888888888888,0.9076923076923077,0.9115384615384615,0.8730378697119727
EMG,Extra Trees,3,48,12,0.75,0.6666666666666666,0.7857142857142857,0.6666666666666666,0.6648351648351648,0.7293956043956044,0.6086976429335179
EMG,Extra Trees,4,48,12,0.6666666666666666,0.5555555555555555,0.5634920634920635,0.5555555555555555,0.5521367521367521,0.6448717948717949,0.45397969225022583
EMG,Extra Trees,5,48,12,0.6666666666666666,0.5555555555555555,0.7222222222222222,0.5555555555555555,0.5666666666666668,0.6250000000000001,0.45675013919556984
EMG,Gradient Boosting,1,48,12,0.5833333333333334,0.611111111111111,0.6333333333333333,0.611111111111111,0.5793650793650794,0.6011904761904762,0.42401324748473745
EMG,Gradient Boosting,2,48,12,0.75,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.6708203932499369
EMG,Gradient Boosting,3,48,12,0.75,0.6666666666666666,0.8055555555555555,0.6666666666666666,0.6746031746031745,0.7202380952380952,0.6047431568147635
EMG,Gradient Boosting,4,48,12,0.5833333333333334,0.4444444444444444,0.3611111111111111,0.4444444444444444,0.3968253968253968,0.5119047619047619,0.30237157840738177
EMG,Gradient Boosting,5,48,12,0.5833333333333334,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.4000000000000001,0.5000000000000001,0.2906591794880899
EMG,XGBoost,1,48,12,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.5666666666666667
EMG,XGBoost,2,48,12,0.6666666666666666,0.5555555555555555,0.41904761904761906,0.5555555555555555,0.4743589743589744,0.5865384615384616,0.4913538149119954
EMG,XGBoost,3,48,12,0.8333333333333334,0.7777777777777778,0.8666666666666667,0.7777777777777778,0.75,0.8125,0.768273325346536
EMG,XGBoost,4,48,12,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.4666666666666667
EMG,XGBoost,5,48,12,0.5833333333333334,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.4000000000000001,0.5000000000000001,0.2906591794880899
Gyroscope + Accelerometer,Logistic Regression,1,48,12,0.5,0.5555555555555555,0.5873015873015873,0.5555555555555555,0.4777777777777778,0.48333333333333334,0.34921514788478913
Gyroscope + Accelerometer,Logistic Regression,2,48,12,0.75,0.6666666666666666,0.7857142857142857,0.6666666666666666,0.6648351648351648,0.7293956043956044,0.6086976429335179
Gyroscope + Accelerometer,Logistic Regression,3,48,12,0.5,0.3333333333333333,0.19999999999999998,0.3333333333333333,0.25,0.375,0.09759000729485331
Gyroscope + Accelerometer,Logistic Regression,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope + Accelerometer,Logistic Regression,5,48,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gyroscope + Accelerometer,Linear SVM,1,48,12,0.5833333333333334,0.611111111111111,0.6428571428571429,0.611111111111111,0.5555555555555555,0.5833333333333334,0.45397969225022583
Gyroscope + Accelerometer,Linear SVM,2,48,12,0.6666666666666666,0.5555555555555555,0.5833333333333334,0.5555555555555555,0.5523809523809523,0.6285714285714286,0.4472135954999579
Gyroscope + Accelerometer,Linear SVM,3,48,12,0.5,0.3333333333333333,0.19999999999999998,0.3333333333333333,0.25,0.375,0.09759000729485331
Gyroscope + Accelerometer,Linear SVM,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope + Accelerometer,Linear SVM,5,48,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gyroscope + Accelerometer,RBF SVM,1,48,12,0.75,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7157287157287158,0.764069264069264,0.6197116694007702
Gyroscope + Accelerometer,RBF SVM,2,48,12,0.75,0.6666666666666666,0.6746031746031745,0.6666666666666666,0.6632478632478632,0.7282051282051283,0.5936657514041415
Gyroscope + Accelerometer,RBF SVM,3,48,12,0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.4000000000000001,0.12456821978060996
Gyroscope + Accelerometer,RBF SVM,4,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Gyroscope + Accelerometer,RBF SVM,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope + Accelerometer,k-NN,1,48,12,0.8333333333333334,0.7777777777777778,0.8666666666666667,0.7777777777777778,0.75,0.8125,0.768273325346536
Gyroscope + Accelerometer,k-NN,2,48,12,0.75,0.6666666666666666,0.6746031746031745,0.6666666666666666,0.6632478632478632,0.7282051282051283,0.5936657514041415
Gyroscope + Accelerometer,k-NN,3,48,12,0.5833333333333334,0.4444444444444444,0.3611111111111111,0.4444444444444444,0.3968253968253968,0.5119047619047619,0.30237157840738177
Gyroscope + Accelerometer,k-NN,4,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope + Accelerometer,k-NN,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope + Accelerometer,Gaussian Naive Bayes,1,48,12,0.6666666666666666,0.611111111111111,0.611111111111111,0.611111111111111,0.6046176046176045,0.6807359307359307,0.48924605479008165
Gyroscope + Accelerometer,Gaussian Naive Bayes,2,48,12,0.4166666666666667,0.3333333333333333,0.37777777777777777,0.3333333333333333,0.35353535353535354,0.44696969696969696,0.09784921095801634
Gyroscope + Accelerometer,Gaussian Naive Bayes,3,48,12,0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.4000000000000001,0.12456821978060996
Gyroscope + Accelerometer,Gaussian Naive Bayes,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope + Accelerometer,Gaussian Naive Bayes,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142858,0.9142857142857143,0.8764598212022147
Gyroscope + Accelerometer,Random Forest,1,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Gyroscope + Accelerometer,Random Forest,2,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Gyroscope + Accelerometer,Random Forest,3,48,12,0.5,0.3333333333333333,0.25,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.15118578920369088
Gyroscope + Accelerometer,Random Forest,4,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Gyroscope + Accelerometer,Random Forest,5,48,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gyroscope + Accelerometer,Extra Trees,1,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142858,0.9142857142857143,0.8764598212022147
Gyroscope + Accelerometer,Extra Trees,2,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Gyroscope + Accelerometer,Extra Trees,3,48,12,0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.4000000000000001,0.12456821978060996
Gyroscope + Accelerometer,Extra Trees,4,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Gyroscope + Accelerometer,Extra Trees,5,48,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gyroscope + Accelerometer,Gradient Boosting,1,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Gyroscope + Accelerometer,Gradient Boosting,2,48,12,0.6666666666666666,0.5555555555555555,0.47222222222222215,0.5555555555555555,0.5079365079365079,0.5952380952380952,0.4535573676110727
