sensor_combination,feature_set,model,validation_method,n_samples,n_features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc
Gyroscope + EMG,All features,k-NN,Leave-One-Subject-Out,60,189,0.7833333333333333,0.7222222222222222,0.7388888888888889,0.7222222222222222,0.7184126984126985,0.7804761904761904,0.6607158652139772
All sensors,All features,Extra Trees,Leave-One-Subject-Out,60,240,0.7833333333333333,0.7111111111111111,0.7329545454545454,0.7111111111111111,0.7161369096852969,0.7751979203592108,0.6503189326413829
Accelerometer,Top 10 selected features,RBF SVM,Leave-One-Subject-Out,60,10,0.7666666666666667,0.7111111111111111,0.7272727272727272,0.7111111111111111,0.7160493827160493,0.7592592592592593,0.6217727134488473
Gyroscope,All features,Gradient Boosting,Leave-One-Subject-Out,60,51,0.7833333333333333,0.7111111111111111,0.7224442224442225,0.7111111111111111,0.7148330596606458,0.7742200328407224,0.6484981574415093
Gyroscope,All features,k-NN,Leave-One-Subject-Out,60,51,0.7666666666666667,0.7111111111111111,0.719344499586435,0.7111111111111111,0.7138450303442371,0.7648919694794893,0.6250203248727716
Gyroscope + Accelerometer,Top 10 selected features,Linear SVM,Leave-One-Subject-Out,60,10,0.7666666666666667,0.7111111111111111,0.719344499586435,0.7111111111111111,0.7138450303442371,0.7648919694794893,0.6250203248727716
Gyroscope + Accelerometer,All features,Random Forest,Leave-One-Subject-Out,60,102,0.7833333333333333,0.7111111111111111,0.7222222222222222,0.7111111111111111,0.7136598964555954,0.7771804062126643,0.6507913734559686
All sensors,All features,k-NN,Leave-One-Subject-Out,60,240,0.7666666666666667,0.7111111111111111,0.718350930115636,0.7111111111111111,0.7128968253968254,0.7680059523809525,0.6277837204349725
Gyroscope,Top 5 selected features,Gradient Boosting,Leave-One-Subject-Out,60,5,0.7833333333333333,0.7111111111111111,0.7152088502894954,0.7111111111111111,0.711893430031981,0.7798217118682481,0.6519029194909554
Gyroscope + Accelerometer,Top 10 selected features,Random Forest,Leave-One-Subject-Out,60,10,0.7833333333333333,0.7111111111111111,0.7152088502894954,0.7111111111111111,0.711893430031981,0.7798217118682481,0.6519029194909554
Accelerometer + EMG,All features,Logistic Regression,Leave-One-Subject-Out,60,189,0.7666666666666667,0.7111111111111111,0.7193759224119756,0.7111111111111111,0.7118751264926129,0.7634145415907712,0.6261526089981683
EMG,Top 5 selected features,RBF SVM,Leave-One-Subject-Out,60,5,0.75,0.7222222222222222,0.709644481574306,0.7222222222222222,0.7115998244427838,0.7529981139461229,0.6113659840594631
Gyroscope + Accelerometer,Top 5 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,5,0.7833333333333333,0.7111111111111111,0.7152777777777778,0.7111111111111111,0.71047391477499,0.7747909199522103,0.6507913734559686
Gyroscope,All features,Random Forest,Leave-One-Subject-Out,60,51,0.7833333333333333,0.7111111111111111,0.7131035209782839,0.7111111111111111,0.7090416919651892,0.7776829083181542,0.6530839040088422
Accelerometer + EMG,Top 10 selected features,Random Forest,Leave-One-Subject-Out,60,10,0.7666666666666667,0.7000000000000001,0.7267379679144385,0.7000000000000001,0.7072115384615385,0.7569711538461539,0.6213549572030473
Gyroscope,All features,RBF SVM,Leave-One-Subject-Out,60,51,0.7666666666666667,0.7000000000000001,0.720211161387632,0.7000000000000001,0.7068452380952381,0.7566964285714286,0.6201736729460422
Gyroscope,Top 10 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,10,0.7833333333333333,0.7111111111111111,0.7289562289562289,0.7111111111111111,0.7063492063492064,0.7678571428571428,0.654627765887489
EMG,All features,XGBoost,Leave-One-Subject-Out,60,138,0.75,0.7000000000000001,0.7074074074074074,0.7000000000000001,0.6995510662177328,0.7496632996632997,0.6024144966768742
Accelerometer + EMG,Top 5 selected features,Linear SVM,Leave-One-Subject-Out,60,5,0.7666666666666667,0.7000000000000001,0.6996484698097601,0.7000000000000001,0.6986603208179094,0.7617001586462189,0.6250203248727716
EMG,All features,Random Forest,Leave-One-Subject-Out,60,138,0.75,0.688888888888889,0.7175213675213676,0.688888888888889,0.6981142314475649,0.738970288970289,0.5919357843904194
Accelerometer + EMG,All features,Random Forest,Leave-One-Subject-Out,60,189,0.75,0.6888888888888888,0.7149859943977591,0.6888888888888888,0.6977969348659002,0.7420977011494253,0.5928919906252137
Accelerometer,Top 10 selected features,Logistic Regression,Leave-One-Subject-Out,60,10,0.7333333333333333,0.7000000000000001,0.6956896551724138,0.7000000000000001,0.6975396391470748,0.7350191361399673,0.5764244485306949
EMG,Top 5 selected features,k-NN,Leave-One-Subject-Out,60,5,0.7333333333333333,0.6888888888888888,0.6981837606837606,0.6888888888888888,0.692268305171531,0.7288786482334869,0.5686589946933454
All sensors,All features,Gradient Boosting,Leave-One-Subject-Out,60,240,0.7666666666666667,0.6888888888888888,0.6986346986346987,0.6888888888888888,0.6918445539135195,0.7569786535303776,0.6211929718650248
Accelerometer,Top 10 selected features,Linear SVM,Leave-One-Subject-Out,60,10,0.7333333333333333,0.6888888888888888,0.6930314309346568,0.6888888888888888,0.6896829593815316,0.7303769736345093,0.5712551356364042
All sensors,All features,Linear SVM,Leave-One-Subject-Out,60,240,0.7333333333333333,0.688888888888889,0.6981877771351456,0.688888888888889,0.689606877233652,0.7413430889597218,0.5820289127638664
Gyroscope,Top 10 selected features,Random Forest,Leave-One-Subject-Out,60,10,0.7666666666666667,0.6888888888888888,0.6908346134152586,0.6888888888888888,0.6895546762138056,0.7630676465046166,0.6244564814338057
Gyroscope,Top 10 selected features,Extra Trees,Leave-One-Subject-Out,60,10,0.7666666666666667,0.6888888888888888,0.6908346134152586,0.6888888888888888,0.6895546762138056,0.7630676465046166,0.6244564814338057
Gyroscope,Top 10 selected features,Gradient Boosting,Leave-One-Subject-Out,60,10,0.7666666666666667,0.6888888888888888,0.6908346134152586,0.6888888888888888,0.6895546762138056,0.7630676465046166,0.6244564814338057
